,Year,Manufacturer,Model,charge240,feScore,fuelCost08,fuelType1,VClass
28653,2020,,75,0.0,5.0,2100.0,1,0
28654,2020,,24,0.0,5.0,2600.0,0,0
28656,2020,,122,0.0,3.0,3100.0,1,0
28657,2020,,47,0.0,6.0,2400.0,0,2
28658,2020,,73,0.0,8.0,1500.0,1,2
28681,2020,,123,0.0,8.0,1500.0,1,2
28683,2020,,132,3.0,8.0,2400.0,0,2
28684,2020,,329,3.0,8.0,2600.0,0,2
28687,2020,,102,0.0,5.0,2850.0,0,2
28688,2020,,440,0.0,3.0,3450.0,0,2
28691,2020,,188,0.0,1.0,4650.0,0,0
28692,2020,,100,0.0,7.0,1650.0,1,2
28697,2020,,32,0.0,4.0,2950.0,0,0
28698,2020,,325,0.0,4.0,3100.0,0,0
28702,2020,,326,0.0,4.0,3250.0,0,0
28707,2020,,62,0.0,5.0,2850.0,0,0
28708,2020,,267,0.0,4.0,3250.0,0,0
28709,2020,,419,0.0,9.0,1350.0,1,2
28723,2020,,306,0.0,5.0,2850.0,0,0
28739,2020,,116,3.0,8.0,2400.0,0,0
28748,2020,,237,0.0,4.0,3250.0,0,1
28749,2020,,120,0.0,4.0,3250.0,0,1
28755,2020,,217,0.0,5.0,2850.0,0,2
28761,2020,,138,7.0,10.0,650.0,3,0
28762,2021,,108,0.0,4.0,3250.0,0,2
28765,2021,,1,0.0,6.0,2350.0,0,1
28766,2021,,40,0.0,6.0,1750.0,1,2
28773,2021,,193,0.0,7.0,1650.0,1,2
28774,2021,,450,0.0,7.0,1550.0,1,2
28785,2021,,151,0.0,8.0,1500.0,1,2
28806,2021,,293,0.0,3.0,3650.0,0,1
28809,2021,,224,0.0,3.0,3650.0,0,1
28815,2021,,348,0.0,5.0,2500.0,0,2
28826,2021,,126,0.0,5.0,2600.0,0,0
28827,2021,,128,0.0,4.0,3100.0,0,0
28828,2021,,448,0.0,5.0,2700.0,0,0
28829,2021,,49,0.0,4.0,2650.0,1,0
28838,2021,,414,0.0,4.0,2950.0,0,2
28839,2021,,414,0.0,5.0,2600.0,0,2
28851,2021,,134,0.0,3.0,3850.0,0,1
28852,2021,,70,0.0,6.0,1850.0,1,2
28857,2021,,451,0.0,6.0,2250.0,0,0
28858,2021,,184,0.0,6.0,1900.0,1,2
28879,2021,,427,0.0,5.0,2600.0,0,0
28885,2021,,11,0.0,5.0,2500.0,0,2
28900,2021,,61,0.0,5.0,2500.0,0,0
28902,2021,,135,0.0,5.0,2600.0,0,0
28903,2021,,452,0.0,6.0,2400.0,0,2
28904,2021,,166,0.0,6.0,2400.0,0,2
28905,2021,,217,0.0,5.0,2500.0,0,2
28906,2021,,300,0.0,6.0,1900.0,1,2
28907,2021,,35,0.0,7.0,1600.0,1,2
28924,2021,,207,0.0,5.0,2600.0,0,0
28925,2021,,449,0.0,5.0,2850.0,0,0
28926,2021,,51,0.0,4.0,2950.0,0,2
28927,2021,,103,0.0,4.0,2950.0,0,2
28949,2021,,185,0.0,4.0,3250.0,0,1
28950,2021,,203,0.0,3.0,3850.0,0,1
28951,2021,,281,0.0,3.0,3850.0,0,1
28952,2021,,96,0.0,7.0,1500.0,1,2
28967,2021,,117,0.0,4.0,3250.0,0,1
28968,2021,,118,0.0,4.0,3250.0,0,1
28973,2021,,230,0.0,3.0,3650.0,0,2
28978,2021,,19,0.0,3.0,3450.0,0,2
28979,2021,,85,0.0,7.0,1500.0,1,2
28988,2021,,453,6.0,9.0,2950.0,0,0
28996,2021,,454,7.0,10.0,600.0,3,2
29002,2021,,138,7.0,10.0,650.0,3,0
29005,2021,,231,0.0,4.0,2400.0,1,0
29007,2021,,14,0.0,5.0,2300.0,1,0
29008,2021,,14,0.0,3.0,2950.0,1,0
29017,2022,,108,0.0,4.0,3100.0,0,2
29026,2022,,249,0.0,7.0,2100.0,0,0
29027,2022,,23,0.0,6.0,2400.0,0,0
29030,2022,,299,0.0,4.0,3250.0,0,0
29038,2022,,414,0.0,5.0,2950.0,0,2
29055,2022,,108,0.0,5.0,2700.0,0,2
29073,2022,,192,0.0,3.0,3650.0,0,2
29087,2022,,142,0.0,7.0,1550.0,1,2
29088,2022,,142,0.0,7.0,1650.0,1,2
29096,2022,,455,0.0,4.0,3450.0,0,1
29097,2022,,452,0.0,6.0,2400.0,0,2
29098,2022,,151,0.0,7.0,1500.0,1,2
29112,2021,,12,0.0,2.0,4350.0,0,0
29116,2022,,147,0.0,6.0,2400.0,0,0
29117,2022,,63,0.0,6.0,2400.0,0,0
29118,2022,,434,0.0,6.0,2350.0,0,2
29119,2022,,347,0.0,4.0,3450.0,0,2
29120,2022,,255,0.0,5.0,2600.0,0,2
29121,2022,,456,0.0,6.0,2200.0,0,2
29122,2022,,218,0.0,6.0,2350.0,0,2
29134,2022,,49,0.0,4.0,2650.0,1,0
29135,2022,,123,0.0,7.0,1700.0,1,2
29136,2022,,124,0.0,7.0,1600.0,1,2
29141,2022,,101,0.0,5.0,2950.0,0,1
29142,2022,,174,0.0,5.0,2500.0,0,0
29143,2022,,111,0.0,6.0,2350.0,0,0
29144,2022,,215,0.0,5.0,2500.0,0,0
29145,2022,,65,0.0,6.0,2350.0,0,2
29146,2022,,201,0.0,7.0,1500.0,1,2
29172,2022,,5,0.0,4.0,3250.0,0,1
29173,2022,,118,0.0,4.0,3250.0,0,1
29174,2022,,165,0.0,4.0,3250.0,0,1
29175,2022,,88,0.0,4.0,3250.0,0,1
29183,2022,,322,0.0,4.0,3450.0,0,1
29184,2022,,295,0.0,6.0,2250.0,0,2
29194,2022,,325,0.0,4.0,3100.0,0,0
29196,2022,,106,0.0,5.0,2950.0,0,0
29197,2022,,103,0.0,5.0,2950.0,0,2
29198,2022,,457,0.0,4.0,3250.0,0,2
29207,2022,,458,0.0,5.0,2850.0,0,0
29227,2022,,345,0.0,5.0,2600.0,0,1
29228,2022,,180,0.0,5.0,2600.0,0,0
29229,2022,,459,0.0,4.0,3100.0,0,2
29243,2022,,224,0.0,3.0,3650.0,0,1
29244,2022,,273,0.0,4.0,3450.0,0,0
29245,2022,,69,0.0,6.0,2250.0,0,0
29246,2022,,422,0.0,5.0,2600.0,0,0
29254,2022,,177,0.0,5.0,2700.0,0,2
29257,2022,,460,10.0,10.0,900.0,3,2
29258,2022,,461,10.0,10.0,950.0,3,2
29261,2022,,449,0.0,5.0,2950.0,0,0
29299,2022,,134,0.0,3.0,3850.0,0,1
29314,2022,,70,0.0,6.0,1850.0,1,2
29327,2022,,231,0.0,5.0,2400.0,1,0
29328,2022,,12,0.0,5.0,2100.0,1,0
29329,2022,,426,0.0,3.0,2950.0,1,0
29330,2022,,426,0.0,3.0,3100.0,1,0
29331,2022,,14,0.0,5.0,2300.0,1,0
29341,2022,,90,0.0,4.0,3450.0,0,1
29342,2022,,90,0.0,4.0,3450.0,0,1
29348,2023,,108,0.0,5.0,2600.0,0,2
29351,2023,,254,0.0,3.0,3850.0,0,0
29352,2023,,189,0.0,3.0,3850.0,0,0
29353,2023,,80,0.0,6.0,2100.0,0,0
29358,2022,,275,0.0,5.0,2850.0,0,0
29360,2023,,76,0.0,6.0,2200.0,0,1
29361,2023,,1,0.0,5.0,2400.0,0,1
29362,2023,,253,0.0,5.0,2700.0,0,0
29366,2023,,101,0.0,5.0,2600.0,0,1
29368,2022,,188,0.0,2.0,4650.0,0,0
29382,2023,,171,4.0,10.0,650.0,3,0
29389,2023,,49,0.0,5.0,2950.0,0,0
29390,2023,,49,0.0,5.0,2600.0,0,0
29391,2023,,49,0.0,3.0,4100.0,0,0
29403,2023,,49,0.0,5.0,2400.0,1,0
29405,2023,,34,0.0,6.0,1900.0,1,2
29416,2023,,162,0.0,5.0,2850.0,0,0
29417,2023,,462,0.0,5.0,2100.0,1,0
29418,2023,,25,0.0,6.0,2350.0,0,0
29419,2023,,174,0.0,5.0,2500.0,0,0
29420,2023,,63,0.0,5.0,2400.0,0,0
29421,2023,,195,0.0,5.0,2400.0,0,0
29422,2023,,331,0.0,4.0,3450.0,0,2
29423,2023,,463,0.0,4.0,3650.0,0,2
29445,2023,,332,0.0,6.0,1750.0,1,2
29446,2023,,332,0.0,6.0,1750.0,1,2
29496,2023,,123,0.0,7.0,1500.0,1,2
29515,2023,,460,10.0,10.0,900.0,3,2
29516,2023,,464,9.0,10.0,850.0,3,2
29517,2023,,461,10.0,10.0,900.0,3,2
29520,2023,,135,0.0,5.0,2600.0,0,0
29521,2023,,39,0.0,6.0,2250.0,0,2
29530,2023,,117,0.0,4.0,3250.0,0,1
29531,2023,,237,0.0,4.0,3250.0,0,1
29532,2023,,120,0.0,4.0,3250.0,0,1
29533,2023,,120,0.0,4.0,3250.0,0,1
29534,2023,,165,0.0,4.0,3250.0,0,1
29535,2023,,165,0.0,4.0,3250.0,0,1
29537,2023,,119,0.0,4.0,3250.0,0,1
29538,2023,,342,0.0,4.0,3250.0,0,1
29539,2023,,90,0.0,4.0,3450.0,0,1
29540,2023,,202,0.0,3.0,3850.0,0,1
29541,2023,,281,0.0,3.0,3850.0,0,1
29542,2023,,225,0.0,4.0,3450.0,0,0
29543,2023,,323,0.0,5.0,2600.0,0,2
29544,2023,,459,0.0,4.0,3100.0,0,2
29546,2023,,170,0.0,8.0,1050.0,1,2
